player_nickname,body_part_name,sub_type_name,x,y,outcome_name,shot_statsbomb_xg,end_x,end_y,technique_name,box
Gonzalo Montiel,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,42.8,Normal,inside
Jordy Josué Caicedo Medina,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,38.8,Normal,inside
Nicolás Otamendi,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,37,Normal,inside
Derek Cornelius,Left Foot,Open Play,107.7,47.4,Blocked,0.042415738,108.9,46.9,Volley,inside
Cyle Larin,Head,Open Play,111.1,43.2,Saved,0.06695757,118.5,42.6,Normal,inside
Víctor Dávila,Left Foot,Open Play,105.3,35.5,Off T,0.041588385,120,45.3,Overhead Kick,inside
Cyle Larin,Right Foot,Open Play,102.8,50.1,Off T,0.07895038,120,49.1,Normal,inside
Alphonso Davies,Left Foot,Free Kick,102.1,63.9,Blocked,0.007882138,107.7,56.2,Normal,outside
Marcelino Núñez,Right Foot,Free Kick,93.7,24.1,Saved,0.022303076,119,42.4,Normal,outside
Jonathan David,Right Foot,Open Play,99.8,35.1,Wayward,0.17743298,118.7,45.8,Lob,outside
Stephen Antunes Eustáquio,Left Foot,Open Play,102.2,36.6,Saved,0.07708228,107.7,37.3,Half Volley,inside
Rodrigo Echeverría,Head,Open Play,114.4,35.3,Blocked,0.124521755,116,37,Normal,inside
Igor Lichnovsky,Head,Open Play,112.3,41.4,Saved,0.123563804,119.3,38.6,Normal,inside
Richie Laryea,Right Foot,Open Play,106.7,54.5,Blocked,0.033056907,108.8,52.4,Half Volley,inside
Víctor Dávila,Left Foot,Open Play,100.3,45.2,Wayward,0.041495215,107.5,34.7,Volley,outside
Rodrigo Echeverría,Head,Open Play,107,39.4,Saved,0.05926139,119,40.1,Normal,inside
Liam Millar,Right Foot,Open Play,104,20.1,Off T,0.019960493,120,46.4,Normal,inside
Alexis Sánchez,Right Foot,Open Play,107.1,56.9,Saved,0.014125056,119.2,38.9,Normal,inside
Tajon Buchanan,Right Foot,Open Play,110.9,49.3,Saved,0.19575536,116.3,44.1,Normal,inside
César Ignacio Pérez Maldonado,Right Foot,Open Play,90.5,49.6,Blocked,0.027150622,91.5,49.2,Normal,outside
Luis Díaz,Other,Open Play,110.4,38.5,Off T,0.06460637,120,43.9,Normal,inside
Davinson Sánchez,Head,Open Play,113.7,43.4,Blocked,0.10109383,114.1,43.3,Normal,inside
James Rodríguez,Left Foot,Open Play,103.3,33.8,Saved,0.08969858,117.8,41.8,Normal,inside
Davinson Sánchez,Head,Open Play,114.4,37.9,Wayward,0.15712082,118.2,33,Normal,inside
Jhon Córdoba,Head,Open Play,114.4,37.5,Wayward,0.13556544,119.3,33,Normal,inside
Ariel Lassiter,Left Foot,Open Play,93.1,30,Blocked,0.017024327,95.3,31,Normal,outside
Warren Steven Madrigal Molina,Right Foot,Open Play,105.5,33.8,Off T,0.06438721,120,47.9,Half Volley,inside
Luis Díaz,Right Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.4,Normal,inside
Orlando Moisés Galo Calderón,Right Foot,Open Play,91.8,51.2,Off T,0.019675683,120,42.3,Normal,outside
Richard,Right Foot,Open Play,90.8,54.5,Blocked,0.011506717,99.8,51,Normal,outside
Jefferson Lerma,Head,Open Play,112.9,35.8,Blocked,0.06692195,113.1,36.5,Normal,inside
Davinson Sánchez,Head,Open Play,116.8,40.2,Off T,0.7029356,120,31.1,Diving Header,inside
Orlando Moisés Galo Calderón,Left Foot,Open Play,95.3,45.6,Off T,0.0359637,120,48.7,Normal,outside
Luis Díaz,Left Foot,Open Play,109.7,34.3,Blocked,0.11058151,112.2,35.6,Normal,inside
Johan Mojica,Left Foot,Open Play,108.6,29.3,Wayward,0.061551858,106.8,39.9,Half Volley,inside
Davinson Sánchez,Head,Open Play,112.7,40.4,Goal,0.08553727,120,43.5,Normal,inside
Jhon Córdoba,Right Foot,Open Play,113.5,51.8,Goal,0.14756025,120,36.5,Normal,inside
Jhon Arias,Right Foot,Open Play,92.7,34.4,Blocked,0.029722635,97,35.6,Normal,outside
Jhon Córdoba,Right Foot,Open Play,102.5,40.1,Blocked,0.060599335,103.5,40,Half Volley,inside
Kevin Duvan Castaño Gil,Right Foot,Open Play,99.4,43.9,Saved,0.075598486,118.2,41.7,Normal,outside
Yáser Asprilla,Left Foot,Open Play,101.5,44.8,Off T,0.18363117,120,35.5,Normal,outside
Yáser Asprilla,Left Foot,Open Play,92.6,43.4,Blocked,0.034582872,99.3,42.8,Normal,outside
Jefferson Brenes Rojas,Right Foot,Open Play,103.8,55.8,Off T,0.028247055,120,37.4,Normal,inside
Édgar Yoel Bárcenas,Right Foot,Open Play,106.6,42,Off T,0.062989265,120,38,Overhead Kick,inside
Chris Richards,Head,Open Play,110.9,39.8,Saved to Post,0.07812195,118.6,41.7,Normal,inside
Folarin Balogun,Left Foot,Open Play,102.5,26.8,Goal,0.04702855,120,44.1,Normal,inside
César Blackman,Right Foot,Open Play,99.5,43,Blocked,0.054867465,100.3,43,Normal,outside
César Blackman,Left Foot,Open Play,101.6,37.7,Goal,0.055388477,120,36.9,Normal,outside
César Blackman,Right Foot,Open Play,109,54.2,Blocked,0.04021207,109.8,53.1,Normal,inside
Édgar Yoel Bárcenas,Left Foot,Open Play,102.7,40.4,Blocked,0.084902525,103.9,40.3,Normal,inside
Edgardo Isaac Fariña Wynter,Head,Open Play,110.8,44,Blocked,0.055704698,111.4,43.9,Normal,inside
Eduardo Antonio Guerrero Lozcano,Left Foot,Open Play,98.5,51.1,Blocked,0.021480177,100.3,50.3,Normal,outside
Weston McKennie,Head,Open Play,113.1,39.6,Off T,0.14092734,120,25.1,Normal,inside
Christian Martínez,Right Foot,Open Play,89.4,46.8,Blocked,0.014266845,90.7,46.5,Normal,outside
Edgardo Isaac Fariña Wynter,Right Foot,Open Play,88.7,47.2,Saved,0.019484911,117.2,40.9,Normal,outside
Folarin Balogun,Right Foot,Open Play,112.2,22.6,Off T,0.009022019,120,47.4,Normal,inside
Michael Murillo,Right Foot,Open Play,106.5,51,Saved,0.06588405,117.4,43.8,Normal,inside
Ricardo Daniel Pepi,Head,Open Play,117.1,35.9,Saved,0.53785944,118.9,38.1,Normal,inside
Abdiel Ayarza,Right Foot,Open Play,85.2,33.7,Off T,0.011237851,120,28.4,Normal,outside
Édgar Yoel Bárcenas,Left Foot,Open Play,95.6,51.3,Blocked,0.026957639,105.3,46.7,Normal,outside
José Fajardo Nelson,Right Foot,Open Play,111.3,45.1,Goal,0.21740662,120,42.9,Half Volley,inside
Chris Richards,Head,Open Play,115.3,33.4,Off T,0.10131924,120,38.4,Normal,inside
Francisco Calvo,Head,Open Play,112.3,40.4,Goal,0.23077281,120,43.4,Normal,inside
Josimar Alcócer,Right Foot,Open Play,93.6,29.1,Goal,0.04128174,120,36.3,Normal,outside
Ramón Sosa,Left Foot,Open Play,94.4,46.3,Blocked,0.031543158,97.1,45.8,Normal,outside
Julio Enciso,Left Foot,Open Play,92.9,34.2,Off T,0.030272504,120,36.9,Normal,outside
Julio Enciso,Right Foot,Open Play,95.9,44.3,Saved,0.033714645,119.4,37.5,Normal,outside
Damián Josué Bobadilla Benítez,Right Foot,Open Play,94.4,50.6,Off T,0.02353331,120,34.5,Normal,outside
Mathías Adalberto Villasanti Rolón,Head,Open Play,110.4,46,Wayward,0.13156448,112.2,37.9,Normal,inside
Ramón Sosa,Right Foot,Open Play,104.4,26.3,Goal,0.054733403,120,43.2,Normal,inside
Julio Enciso,Right Foot,Open Play,83.6,35.5,Off T,0.005681199,120,45.4,Normal,outside
Ángel Romero,Left Foot,Open Play,100.3,41.3,Blocked,0.059779733,106.2,40.9,Normal,outside
Ramón Sosa,Left Foot,Open Play,107.6,25.3,Saved,0.048876952,119.3,36.1,Normal,inside
Fabián Balbuena,Head,Open Play,114.9,32.7,Saved,0.076058485,119.2,38.3,Normal,inside
Julio Enciso,Right Foot,Open Play,89,28.5,Saved,0.01456732,118.6,39.6,Normal,outside
Ángel Romero,Right Foot,Free Kick,96.8,46.7,Blocked,0.07270941,107.6,45.2,Normal,outside
Omar Alderete,Left Foot,Open Play,96.4,38,Blocked,0.04512406,100.1,38.2,Normal,outside
Julio Enciso,Head,Open Play,108.2,44.7,Wayward,0.09697982,111,39.8,Diving Header,inside
Fabián Balbuena,Head,Open Play,114.3,46.8,Wayward,0.084786765,115.3,40,Normal,inside
Ángel Romero,Right Foot,Open Play,115.6,38.4,Saved,0.49649954,119.3,39.3,Half Volley,inside
Julio Enciso,Head,Open Play,113.9,38.2,Blocked,0.13363792,114.5,38.5,Normal,inside
James Rodríguez,Left Foot,Free Kick,88.9,51.5,Post,0.020332433,120,42,Normal,outside
Bruno Guimarães,Left Foot,Open Play,97.2,37.1,Blocked,0.034696564,102,37.1,Volley,outside
Bruno Guimarães,Right Foot,Open Play,97.3,41.2,Saved,0.05629448,119,37.7,Normal,outside
Raphinha,Left Foot,Free Kick,92,51.3,Goal,0.040516097,120,43.4,Normal,outside
James Rodríguez,Left Foot,Open Play,111.9,27.2,Off T,0.066385366,120,37.1,Volley,inside
Richard,Right Foot,Open Play,95.7,46.7,Saved,0.029516274,118.7,42.2,Normal,outside
James Rodríguez,Left Foot,Free Kick,101.7,3.3,Saved,0.00835395,119,38.4,Normal,outside
Richard,Right Foot,Open Play,101.8,51.4,Blocked,0.036095258,111,47.3,Normal,outside
Jefferson Lerma,Head,Open Play,113.5,33.9,Off T,0.06684235,120,34.4,Normal,inside
Luis Díaz,Right Foot,Open Play,101,28.7,Saved,0.13913429,110.7,34.7,Normal,outside
Daniel Muñoz,Right Foot,Open Play,109.7,48.2,Goal,0.46262512,120,43,Normal,inside
Jhon Córdoba,Head,Open Play,114.2,37.1,Off T,0.176081,120,40.4,Normal,inside
Vinícius Júnior,Right Foot,Open Play,98.2,57.7,Off T,0.016413238,120,45.4,Half Volley,outside
Éder Militão,Left Foot,Open Play,106.3,45.1,Blocked,0.065019414,107.4,44.4,Normal,inside
Raphinha,Left Foot,Free Kick,97,52.3,Off T,0.051849823,120,35.6,Normal,outside
Jhon Arias,Left Foot,Open Play,96,46.9,Off T,0.031839676,120,33.6,Half Volley,outside
Jhon Córdoba,Head,Open Play,113.2,35.5,Saved,0.10250635,118.9,38.6,Normal,inside
Jorge Carrascal,Right Foot,Open Play,105.8,54.1,Saved,0.0579185,115.4,43.7,Normal,inside
Rafael Santos Borré Amaury,Right Foot,Open Play,111.5,47.4,Off T,0.30537245,120,40.7,Normal,inside
Andreas Pereira,Right Foot,Open Play,96.8,42.3,Saved,0.041028004,117.8,40.8,Normal,outside
Antonee Robinson,Head,Open Play,104.4,33.1,Saved,0.02780115,115.3,39.6,Normal,inside
Nahitan Nández,Right Foot,Open Play,104.1,52.4,Wayward,0.16986394,113.1,40.5,Lob,inside
Darwin Núñez,Left Foot,Open Play,107.5,33.5,Off T,0.077659674,120,33.6,Half Volley,inside
Facundo Pellistri,Right Foot,Open Play,110.5,48.9,Off T,0.16961518,120,47,Volley,inside
Nicolás De La Cruz,Left Foot,Open Play,99.3,54.6,Blocked,0.027658783,101.2,53.2,Normal,outside
Weston McKennie,Right Foot,Open Play,99,42.3,Off T,0.09649916,120,46.3,Normal,outside
Matías Viña,Head,Open Play,108.4,30,Off T,0.02686126,120,35.1,Normal,inside
Federico Valverde,Right Foot,Open Play,79.8,29.1,Off T,0.005543194,120,34.2,Normal,outside
Ronald Araújo,Head,Open Play,109.2,35.4,Saved,0.039191112,118.1,37.7,Normal,inside
Mathías Olivera,Left Foot,Open Play,116.1,36.2,Goal,0.5379554,120,39,Half Volley,inside
Federico Valverde,Right Foot,Open Play,42.6,12.1,Saved,0.004407367,104.2,31.6,Normal,outside
Christian Pulisic,Right Foot,Open Play,102.1,41.5,Blocked,0.07603246,108.2,41.9,Normal,inside
Nicolás De La Cruz,Left Foot,Open Play,98.4,48.2,Saved,0.04149526,118.5,41.7,Normal,outside
Josh Sargent,Head,Open Play,109.2,42.3,Blocked,0.04050494,110.1,42.1,Normal,inside
Haji Wright,Right Foot,Open Play,106.4,34.7,Saved,0.09185049,118.1,37.3,Normal,inside
Luis Suárez,Right Foot,Open Play,102.7,32.8,Blocked,0.061259374,104.5,33.4,Normal,inside
Facundo Pellistri,Right Foot,Open Play,107.9,44.4,Saved,0.110010594,118.8,43.4,Normal,inside
Christian Pulisic,Right Foot,Open Play,95.1,35.1,Blocked,0.032206345,97.3,35.6,Normal,outside
Christian Pulisic,Right Foot,Open Play,108.9,51.3,Off T,0.050065216,120,41.8,Normal,inside
Malik Tillman,Right Foot,Open Play,102.7,46.2,Blocked,0.05603719,104.8,45.7,Half Volley,inside
Jovani Welch,Right Foot,Open Play,85.1,26.9,Saved,0.005860991,117.9,36.5,Normal,outside
José Ángel Córdoba Chambers,Head,Open Play,104.9,42.6,Off T,0.02188293,120,45.9,Normal,inside
Gabriel Alejandro Villamíl Cortéz,Right Foot,Open Play,103.9,43.6,Blocked,0.08141885,105.3,43.2,Normal,inside
José Fajardo Nelson,Right Foot,Open Play,108.8,34.4,Goal,0.105926,120,37.2,Half Volley,inside
Miguel Ángel Terceros,Left Foot,Open Play,87.7,40.5,Off T,0.024357293,120,45.2,Normal,outside
Miguel Ángel Terceros,Left Foot,Open Play,105.5,25.9,Saved,0.032134682,117.2,37.7,Normal,inside
Gabriel Alejandro Villamíl Cortéz,Head,Open Play,107.8,32.9,Off T,0.03919235,120,46.3,Normal,inside
Édgar Yoel Bárcenas,Left Foot,Open Play,106.5,36,Wayward,0.11715726,115.2,36.5,Half Volley,inside
José Fajardo Nelson,Right Foot,Open Play,94.8,29.5,Off T,0.03166895,120,47.3,Normal,outside
Kahiser Lenis,Left Foot,Open Play,114.6,58.9,Off T,0.009931419,120,25.9,Normal,inside
Christian Martínez,Left Foot,Open Play,102.7,50.6,Saved,0.049834657,118.3,43.1,Half Volley,inside
José Fajardo Nelson,Other,Open Play,114.9,35.1,Off T,0.20411061,120,38.3,Normal,inside
Kahiser Lenis,Left Foot,Open Play,108.4,46.4,Saved,0.3216748,116.8,43.5,Normal,inside
Bruno Miranda,Left Foot,Open Play,108.6,32.2,Goal,0.4246128,120,37.1,Normal,inside
Kahiser Lenis,Left Foot,Open Play,106.3,42.3,Blocked,0.11014635,108,41.7,Normal,inside
Miguel Ángel Terceros,Left Foot,Open Play,103.2,37.4,Saved,0.07960723,118.5,39.3,Half Volley,inside
Miguel Ángel Terceros,Right Foot,Open Play,91.6,53.3,Blocked,0.10654139,108.4,46.7,Normal,outside
Eduardo Antonio Guerrero Lozcano,Head,Open Play,110.9,36.3,Goal,0.22215071,120,42.7,Diving Header,inside
Édgar Yoel Bárcenas,Right Foot,Open Play,101.7,53.1,Blocked,0.029290654,103.9,51.7,Half Volley,outside
César Augusto Yanis Velasco,Right Foot,Open Play,103.2,42.4,Goal,0.11092438,120,42.6,Half Volley,inside
Orbelín Pineda,Right Foot,Open Play,96.5,57.7,Blocked,0.011882489,97.3,57.1,Normal,outside
César Huerta,Left Foot,Open Play,98.2,37.5,Off T,0.057858974,120,34.9,Half Volley,outside
Orbelín Pineda,Right Foot,Open Play,102,57.9,Blocked,0.016744986,103.9,56.2,Normal,inside
Moisés Caicedo,Right Foot,Free Kick,94.3,30.3,Blocked,0.053783152,104.6,36.1,Normal,outside
Kendry Páez,Left Foot,Open Play,92.6,34.4,Saved,0.017840397,118.6,42.5,Half Volley,outside
Julián Quiñones,Right Foot,Open Play,90.8,31.2,Blocked,0.020218736,99.3,32.8,Normal,outside
Luis Chávez,Left Foot,Open Play,104.5,29.2,Blocked,0.055059135,106.7,30.3,Normal,inside
Kendry Páez,Left Foot,Free Kick,113.3,75.6,Saved,0.007625636,119.8,44,Normal,outside
Félix Torres,Head,Open Play,111.6,34.7,Off T,0.05332383,120,33.9,Normal,inside
César Huerta,Head,Open Play,113.5,47.2,Off T,0.08419325,120,43.2,Normal,inside
Jeremy Sarmiento,Right Foot,Open Play,104.8,34.1,Off T,0.058603153,120,46.1,Volley,inside
Luis Romo,Right Foot,Open Play,96.4,50.2,Off T,0.026965009,120,31.5,Normal,outside
Santiago Giménez,Left Foot,Open Play,103.2,38.2,Blocked,0.049390547,104.9,38.3,Normal,inside
Kevin José Rodríguez Cortez,Right Foot,Open Play,114.7,23.3,Blocked,0.008976546,115.1,24.7,Normal,inside
Johan Vásquez,Right Foot,Open Play,94.9,36.3,Blocked,0.020573128,96.1,36.5,Normal,outside
Santiago Giménez,Head,Open Play,111.3,39.8,Off T,0.122489825,120,40.2,Normal,inside
Julián Quiñones,Right Foot,Open Play,115.7,27.6,Blocked,0.021641213,117.5,32.7,Normal,inside
Santiago Giménez,Head,Open Play,117.7,45.4,Off T,0.21465965,120,44.9,Normal,inside
Johan Vásquez,Left Foot,Open Play,88.9,48.5,Blocked,0.0117378,91,47.9,Volley,outside
Luis Romo,Right Foot,Open Play,96.3,39.6,Saved,0.03202505,118.3,41.3,Half Volley,outside
Julián Quiñones,Right Foot,Open Play,95.3,29.9,Saved,0.02915168,117.1,41.5,Normal,outside
Santiago Giménez,Right Foot,Open Play,117.8,49.8,Post,0.034901496,120,43.8,Half Volley,inside
Enner Valencia,Right Foot,Open Play,101.8,60.9,Saved,0.008695965,117.8,43.5,Half Volley,outside
Johan Vásquez,Left Foot,Open Play,84.5,36.4,Saved,0.012776371,118,40.6,Normal,outside
Jorge Sánchez,Left Foot,Open Play,99.3,54,Off T,0.026962081,120,30.8,Normal,outside
Enner Valencia,Right Foot,Open Play,97.1,42.3,Off T,0.0508354,120,32.9,Normal,outside
Enner Valencia,Right Foot,Free Kick,99,55.2,Blocked,0.04616518,106.6,50.2,Normal,outside
Santiago Giménez,Head,Open Play,104.4,45,Saved,0.019855587,117.4,41.9,Normal,inside
Guillermo Martínez Ayala,Left Foot,Open Play,112.7,47.5,Blocked,0.06853958,114,46.3,Half Volley,inside
Michael Hector,Right Foot,Open Play,99.2,48.8,Blocked,0.025376994,112.4,42.7,Volley,outside
Demarai Gray,Right Foot,Open Play,106.1,29.6,Off T,0.06077436,120,48.7,Normal,inside
Salomón Rondón,Head,Open Play,112.8,39.4,Blocked,0.10571951,113.5,39.5,Normal,inside
Darwin Machís,Right Foot,Open Play,100.5,18.8,Off T,0.010060862,120,45.8,Normal,outside
Telasco José Segovia Pérez,Right Foot,Open Play,93,43.8,Off T,0.036402684,120,43.3,Normal,outside
Renaldo Showayne Cephas,Head,Open Play,113,40.7,Off T,0.47344935,120,38.3,Diving Header,inside
Damion Lowe,Head,Open Play,106.3,44.5,Off T,0.01761838,120,31.6,Normal,inside
Yangel Herrera,Right Foot,Open Play,103.1,43,Blocked,0.07951934,106.2,42.7,Normal,inside
José Martínez,Right Foot,Open Play,104,57.7,Wayward,0.028417127,111,45.9,Normal,inside
Renaldo Showayne Cephas,Right Foot,Open Play,98.9,44.1,Off T,0.053111453,120,30.2,Normal,outside
Jon Mikel Aramburu Mejías,Right Foot,Open Play,97,48.7,Off T,0.025802951,120,45.2,Half Volley,outside
Salomón Rondón,Left Foot,Open Play,102.9,40.4,Off T,0.060641095,120,34.9,Half Volley,inside
Michail Antonio,Right Foot,Open Play,90.2,26.7,Off T,0.015231869,120,47.5,Normal,outside
Yangel Herrera,Right Foot,Open Play,102.6,39.3,Blocked,0.030252507,103.3,39.3,Normal,inside
Eduard Bello,Head,Open Play,116.3,44.8,Goal,0.2765872,120,43.1,Normal,inside
Salomón Rondón,Left Foot,Open Play,110.9,36.5,Goal,0.23962331,120,39.8,Normal,inside
Salomón Rondón,Right Foot,Open Play,100.5,44.2,Blocked,0.049242254,102.9,43.4,Half Volley,outside
Yangel Herrera,Right Foot,Open Play,97.8,36,Off T,0.04954869,120,35.2,Normal,outside
Tomás Rincón,Right Foot,Open Play,98.4,43.9,Off T,0.04895626,120,44.6,Half Volley,outside
Salomón Rondón,Left Foot,Open Play,106.4,32.3,Blocked,0.1517406,107,32.6,Normal,inside
Kaheim Dixon,Right Foot,Open Play,107.7,57.7,Saved,0.014485917,116.7,43,Normal,inside
José Martínez,Right Foot,Open Play,91.2,29.9,Off T,0.021166038,120,41.2,Normal,outside
Eric Ramirez,Right Foot,Open Play,102.7,40.2,Goal,0.45877814,120,41.8,Normal,inside
Alex Marshall,Left Foot,Open Play,100.3,63.7,Off T,0.00753652,120,36.9,Normal,outside
Eric Ramirez,Right Foot,Open Play,101.7,29.2,Off T,0.041951418,120,47,Normal,outside
Lucas Paquetá,Left Foot,Open Play,108.4,33,Wayward,0.17851116,108.6,36.3,Half Volley,inside
Gomes,Right Foot,Open Play,94.6,44,Off T,0.031334206,120,43.6,Normal,outside
Julio Enciso,Right Foot,Open Play,114.3,17.3,Off T,0.007261512,120,34.8,Normal,outside
Damián Josué Bobadilla Benítez,Right Foot,Open Play,94,43.5,Saved,0.038246736,118.1,37.5,Normal,outside
Alex Adrián Arce Barrios,Right Foot,Open Play,97.7,31.5,Blocked,0.025406407,99.8,32.1,Normal,outside
Danilo,Head,Open Play,112.8,43.6,Wayward,0.07658868,113.4,80,Normal,inside
Alex Adrián Arce Barrios,Right Foot,Open Play,50.9,32.5,Wayward,0.003063721,115.9,29.6,Normal,outside
Marquinhos,Head,Open Play,114.7,40.1,Off T,0.16580674,120,42.9,Normal,inside
Damián Josué Bobadilla Benítez,Right Foot,Open Play,107.4,35.1,Saved,0.08076446,118.4,37.8,Normal,inside
Lucas Paquetá,Left Foot,Open Play,98.8,29.3,Blocked,0.03615988,104,31.4,Normal,outside
Lucas Paquetá,Left Foot,Penalty,108,40,Off T,0.7835,120,45,Normal,inside
Vinícius Júnior,Right Foot,Open Play,109.7,48.2,Goal,0.30474883,120,41,Normal,inside
Julio Enciso,Right Foot,Open Play,102,27.1,Blocked,0.035751253,111.2,38.6,Normal,inside
Mathías Adalberto Villasanti Rolón,Right Foot,Open Play,111.2,39.3,Off T,0.2560726,120,36.4,Backheel,inside
Bruno Guimarães,Right Foot,Open Play,99.5,40.4,Post,0.06899372,120,39.1,Half Volley,outside
Rodrygo,Left Foot,Open Play,112.6,29,Saved,0.15510158,118.4,36.3,Normal,inside
Sávio,Left Foot,Open Play,116.3,44.7,Goal,0.59045523,120,40.6,Half Volley,inside
Damián Josué Bobadilla Benítez,Right Foot,Open Play,94.1,40.2,Saved,0.032009777,118.6,37,Normal,outside
Vinícius Júnior,Right Foot,Open Play,114.7,32.6,Goal,0.3122415,120,36.7,Normal,inside
Julio Enciso,Right Foot,Free Kick,92.7,28.3,Blocked,0.041077945,100.1,32.1,Normal,outside
Omar Alderete,Left Foot,Open Play,92.9,47.3,Goal,0.022854283,120,43.7,Half Volley,outside
Julio Enciso,Right Foot,Open Play,103.8,18.7,Saved,0.008530369,118.1,40.2,Normal,inside
Rodrygo,Right Foot,Free Kick,89.8,47.8,Saved,0.033093035,119.2,43.4,Normal,outside
Omar Alderete,Left Foot,Open Play,80.4,25.3,Wayward,0.004901101,103.3,39.7,Normal,outside
Sávio,Left Foot,Open Play,102.1,52.4,Blocked,0.041420687,104.1,50.7,Normal,inside
Lucas Paquetá,Left Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.4,Normal,inside
Miguel Almirón,Left Foot,Open Play,93.2,48.1,Saved,0.032701593,118.7,37.1,Normal,outside
Bruno Guimarães,Right Foot,Open Play,98.1,46.4,Blocked,0.054258883,105.1,45.1,Normal,outside
Gustavo Velázquez,Head,Open Play,108.6,35.9,Off T,0.05688724,120,46.2,Normal,inside
Vinícius Júnior,Left Foot,Open Play,103.2,26.5,Off T,0.098521225,120,40.4,Normal,inside
Fabián Balbuena,Head,Open Play,106.9,46,Off T,0.046146944,120,48.1,Normal,inside
Raphinha,Left Foot,Open Play,106.5,56.6,Blocked,0.033454493,111.3,51.7,Normal,inside
Darwin Núñez,Head,Open Play,108,38.8,Off T,0.08219552,120,45.6,Normal,inside
Facundo Pellistri,Head,Open Play,118.1,42.3,Goal,0.72803485,120,41,Normal,inside
Federico Valverde,Right Foot,Open Play,104.9,35,Blocked,0.06513613,106.9,35.6,Normal,inside
Ronald Araújo,Right Foot,Open Play,80.9,48.3,Off T,0.005984487,120,50,Normal,outside
Darwin Núñez,Left Foot,Open Play,105.4,36,Blocked,0.09214343,112.2,36.5,Normal,inside
Manuel Ugarte,Right Foot,Open Play,99.3,37.5,Blocked,0.051464222,105.9,38.7,Normal,outside
Federico Valverde,Right Foot,Open Play,100.3,54.1,Saved,0.03130468,118,41.1,Normal,outside
Darwin Núñez,Right Foot,Open Play,109.8,51.6,Saved,0.1724204,116.6,45.5,Normal,inside
Darwin Núñez,Left Foot,Open Play,110.5,30.7,Goal,0.055676714,120,38.1,Normal,inside
Darwin Núñez,Head,Open Play,108.6,37.9,Post,0.07177888,120,44.1,Normal,inside
Carmelo Algarañaz Añez,Left Foot,Open Play,109.2,20.5,Saved,0.006163986,118.3,35.6,Volley,inside
Maximiliano Araújo,Head,Open Play,110.7,28.7,Saved,0.016176784,118.7,37.5,Normal,inside
Darwin Núñez,Left Foot,Open Play,107.1,29.8,Off T,0.06612359,120,43.9,Normal,inside
Carmelo Algarañaz Añez,Left Foot,Open Play,53,33.8,Off T,0.005564685,120,50.8,Lob,outside
Miguel Ángel Terceros,Left Foot,Open Play,93.1,52.8,Blocked,0.012382525,94,52.4,Normal,outside
Darwin Núñez,Right Foot,Open Play,115.3,29.2,Blocked,0.044333924,116,30.5,Normal,inside
Mathías Olivera,Head,Open Play,108,35.2,Blocked,0.027825205,109.8,35.7,Normal,inside
Luis Haquín,Head,Open Play,105.9,34.9,Wayward,0.026651207,111.3,41.7,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,111.4,29.2,Saved,0.22328395,116.7,36.5,Normal,inside
Maximiliano Araújo,Right Foot,Open Play,110.4,45.4,Goal,0.19301572,120,42.3,Normal,inside
Federico Valverde,Right Foot,Open Play,105.4,43.8,Goal,0.16874397,120,36.3,Normal,inside
Rodrigo Bentancur,Head,Open Play,117.3,44.9,Goal,0.22531982,120,41.3,Normal,inside
Moisés Caicedo,Right Foot,Free Kick,113.1,16.4,Blocked,0.007678414,117.8,33.4,Normal,outside
Kendry Páez,Left Foot,Open Play,109.7,34,Off T,0.2894336,120,38.5,Half Volley,inside
Kendry Páez,Left Foot,Open Play,105.9,33.7,Blocked,0.09641145,107.5,34.7,Normal,inside
Angelo Preciado,Left Foot,Open Play,102.8,53.6,Blocked,0.017820548,103.4,53,Normal,inside
Félix Torres,Head,Open Play,115.6,43,Wayward,0.15510525,115.7,39,Normal,inside
Di'Shon Bernard,Head,Open Play,111.5,46.7,Saved,0.055495482,119.7,40.2,Normal,inside
Jeremy Sarmiento,Right Foot,Open Play,98.5,32,Blocked,0.05211137,101.8,32.7,Normal,outside
Moisés Caicedo,Right Foot,Open Play,94.7,40.5,Saved,0.036992755,116.9,41.8,Normal,outside
John Yeboah,Right Foot,Open Play,113.8,54.5,Blocked,0.016338075,114.4,53.2,Normal,inside
Alan Franco,Right Foot,Open Play,86.1,40.5,Off T,0.015346992,120,50,Normal,outside
Bobby De Cordova-Reid,Right Foot,Open Play,94.3,46.3,Saved,0.041628048,117.9,41,Normal,outside
Jeremy Sarmiento,Right Foot,Open Play,107.5,21.4,Blocked,0.011954671,108,22.2,Normal,inside
Félix Torres,Head,Open Play,107.9,33.1,Off T,0.033826087,120,39.9,Normal,inside
Félix Torres,Head,Open Play,107.5,44.2,Blocked,0.02513541,108.8,44,Normal,inside
Kendry Páez,Left Foot,Penalty,108.1,40.1,Goal,0.7835,120,43.2,Normal,inside
Kendry Páez,Left Foot,Open Play,103.9,23,Off T,0.034807786,120,41,Normal,inside
Kendry Páez,Left Foot,Open Play,101.1,51.8,Blocked,0.019578682,102.2,51,Normal,outside
